id,video_id,url1_views,url2_views,total_views,tier,created_at
0099b188-4118-4a0b-83b3-020039cf7436,4db972d6-5abf-42eb-8f1b-187308b0d036,12842,62539,75381,,2025-11-23 14:31:07.128423+00
048b3b3c-b19b-434e-9e84-826ffa2887cf,9e550c32-9135-45bb-ad3c-bd24b7173b32,65754,195473,261227,,2025-11-23 14:31:14.664593+00
0a12c863-67c9-4273-8859-da5a0e96b4d8,18e927c3-6dfc-4c60-894d-cb0d0813b740,65256,307292,422548,,2025-11-23 14:31:14.329876+00
0dd6c1ae-c823-4210-a92a-33a78dcdc75a,62c16ab3-181c-4a38-8cd0-7229ceba441e,37678,383234,470912,,2025-11-23 14:31:00.107677+00
0f3bf751-7a13-4bd8-a06f-fe49e9779c46,82b7dcca-6af6-40a6-aa26-aedf675622ae,2123,36432,38555,,2025-11-23 14:31:07.834259+00
14d00e31-5af1-4347-a0ba-f4c91ed7bee4,2641cc47-3720-4371-ab52-7195d81d28e2,35040,177762,262802,,2025-11-23 14:31:23.656927+00
19c8fd96-84cc-436b-80cd-9cfa2564931b,775e8d97-866c-476a-bd0d-1b2678d4be35,27284,286853,314137,,2025-11-23 14:31:24.27712+00
1c0e3eab-51a3-40c2-b8df-6d416358ef93,38248271-1e10-4f04-b01f-55d5a9ca752f,169835,894732,1064567,silver,2025-11-23 14:27:25.648494+00
1d5f0faa-7968-4dc9-9d88-752faf7c6940,1fc19555-e2bf-47d9-a06c-e296b6c2a670,102574,1049873,1152447,silver,2025-11-23 14:31:01.877298+00
230cfb53-2ea8-4851-8b91-37e4bf5bcdc2,60577114-6e11-4bbd-b485-4f333a524e20,7179,31230,38409,,2025-11-23 14:31:18.218367+00
2881e9b2-ff57-47ac-b0a4-ce6819b4b0b8,d9763e70-ff19-4fff-b048-2549c4c28e86,21249,163095,234344,,2025-11-23 14:31:03.228093+00
2c365b03-74e7-475e-9ee4-2c39b3d70710,60cb0a2b-1631-47ab-a258-f8d53a74e4a3,16022,97533,163555,,2025-11-23 14:31:19.739004+00
2dfb639f-69dc-4bbe-a109-e34d86035ddd,1fc19555-e2bf-47d9-a06c-e296b6c2a670,102571,1049873,1152444,silver,2025-11-23 14:27:16.589837+00
2eb1064e-a6a0-4f3c-9654-e4f1a074bcaf,3db7b7e6-d7a0-42ff-a496-42c4bfc84166,5104,38694,43798,,2025-11-23 14:31:08.610281+00
2fd672da-fd31-4b43-a045-c78228a08210,bb6608eb-4292-432a-b137-e561072ffbc0,9910,115333,125243,,2025-11-23 14:31:16.591977+00
30771668-6b6f-49ce-b062-9fd7ea66a6b9,36f7759b-b3fa-43ee-9310-4f7bc117cd99,43090,587134,680224,,2025-11-23 14:31:01.158779+00
3241509e-4794-423f-9913-5a1a952f94f7,3182c96f-b213-4e47-a7d1-e48e98f71f32,18417,133698,202115,,2025-11-23 14:31:21.495117+00
34ec811a-8779-4e1d-9343-d5704c2c4ee8,83a9e754-5fd3-4f82-85bd-a426f5a8a7b7,4791,38007,42798,,2025-11-23 14:31:09.233+00
363b79bb-f769-4e59-a3a4-d6b8c76da607,8d4c83b3-8bde-4aee-b770-14b2284ab72e,33600,172877,256477,,2025-11-23 14:31:23.961919+00
377b8908-a9c7-4eb5-938f-f49b13a476c4,bd27d2bb-113c-4865-a898-2971b7d74c4e,9925,54744,64669,,2025-11-23 14:31:17.446319+00
3da25891-d36c-4015-a6e1-de915495681f,e9237ff5-3c2b-4a95-9884-4318f7e27246,245611,770627,1016238,silver,2025-11-23 14:27:25.331599+00
42230390-49b2-44ab-ba43-b0f4945baba8,38248271-1e10-4f04-b01f-55d5a9ca752f,169841,894880,1064721,silver,2025-11-23 14:31:11.016086+00
424e93a3-09d8-4ddb-87e6-454f26b5f77a,10df9585-8437-4816-b0d1-70a756ad531b,88332,248681,337013,,2025-11-23 14:31:16.179909+00
431b9fdd-3783-4919-9232-4159f2c02020,f3630251-e8f7-4897-a50b-20f063840bf4,67958,386657,454615,,2025-11-23 14:31:03.931959+00
478fd3dc-2531-41ae-bf74-7ed12bebe0b6,85292ecf-a4fd-419e-b9cc-fc5243226cc7,52631,116632,169263,,2025-11-23 14:31:13.305024+00
47f4233b-b54e-4742-929c-ff70aee5b702,f0ab1fdb-e4b8-4a7f-a480-f628990eae65,39936,268794,308730,,2025-11-23 14:31:06.812828+00
4b39708e-78ff-4601-a318-1b7a6c1022f8,6bac0378-381e-4545-9754-8a0e85c775f4,41913,181273,273186,,2025-11-23 14:31:04.629397+00
4e65ce45-64a5-4b7b-adbb-92132fd4e9fd,7cc54c34-fba5-47b4-b3e2-e57982479b96,40447,156690,197137,,2025-11-23 14:30:59.097854+00
5215602c-33fb-484b-bc36-aca0ebd9a099,bed7aa61-e505-4770-8bcd-bf3e820210ea,21843,125338,147181,,2025-11-23 14:31:15.042492+00
579f2e1b-2728-4a67-bd90-9feb1e914ac2,ec798d2e-9e67-4896-a0b4-3bb9e3169b8d,10306,71312,81618,,2025-11-23 14:31:12.365194+00
5a60dfc6-02a8-42c5-a6dd-c95181f2baf4,04582e88-bb7e-4022-be78-b2874689dd59,7980,105413,113393,,2025-11-23 14:31:03.614248+00
5bacb3f2-ed67-48c8-8f35-bafd7bb07874,9e47b583-e272-4efc-b180-9b31a5a9879a,26415,76574,102989,,2025-11-23 14:31:06.467959+00
5bd7a83f-091e-47f6-9938-8d043ce0c987,1854a07a-032f-4dbf-bfea-5f7f3cf58ecc,17563,174989,242552,,2025-11-23 14:31:02.891218+00
5e927c33-c577-45ce-b1ce-02d6ea301f39,21307f2d-23b0-47b3-ae81-a9a96aacf01a,33336,108730,142066,,2025-11-23 14:31:20.851574+00
62bc8253-6523-47ad-9cc5-454703106058,0f62dbff-1b24-4ae7-a5bf-0303defdc466,48732,121808,170540,,2025-11-23 14:31:22.891801+00
6bf8b32c-a58c-4a75-a87c-ec4f4fb2d9bf,a906de80-4bde-4377-b52b-0f1e1a364029,26610,81506,108116,,2025-11-23 14:31:13.933179+00
6ce5e2e9-deca-4097-8d98-542288f1e5b5,c1ae66f8-bd74-44e8-a97b-e465b62156dc,21451,48484,69935,,2025-11-23 14:31:12.014847+00
767067d4-7524-4f7e-bd5b-a2bd6d76f37e,8730f3b4-ee6f-47cd-819d-c4dee54c3939,434910,906020,1340930,silver,2025-11-23 14:31:10.305569+00
79c956c8-723c-4aeb-9362-f50526906c1b,58f9ece7-c846-416d-b0cc-48a2a8698670,20484,55991,76475,,2025-11-23 14:31:21.857106+00
7a4cbb6c-a1bf-4fa3-ab2e-588b9155c2f5,64650438-9439-4019-b19d-d90fd8d82ee9,5353,53882,59235,,2025-11-23 14:31:09.998453+00
