id,artist,artist_ja,song,song_ja,url1,url1_channel,url2,url2_channel,benefit_points,created_at
04582e88-bb7e-4022-be78-b2874689dd59,박서진,パクソジン,울고 넘는 박달재,泣いて越すバクダルジェ,https://www.youtube.com/watch?v=PfJtEJsGH8Q,트롯가왕,https://www.youtube.com/watch?v=qA9SR7vZzkc,MBN Music,0,2025-11-23 14:26:47.354301+00
0f62dbff-1b24-4ae7-a5bf-0303defdc466,"슈, 신, 쥬니, 타쿠야","シュウ, シン, ジュニ, タクヤ",자기야,ダーリン,https://www.youtube.com/watch?v=-RfnLGHuIzU,트롯가왕,https://www.youtube.com/watch?v=Qrsl1zy1-0c,MBN Music,0,2025-11-23 14:26:47.354301+00
10df9585-8437-4816-b0d1-70a756ad531b,"타쿠야 , 신","タクヤ , シン",연분홍빛 춤출 무렵,桜色舞うころ,https://www.youtube.com/watch?v=xmYdRZS6jxI,트롯가왕,https://www.youtube.com/watch?v=s7f4b8lj7kg,MBN Music,0,2025-11-23 14:26:47.354301+00
110f7596-a09d-4810-a3eb-9578734ebcb7,진해성,ジンへソン,내 사랑 경아,私の愛 ギョンア,https://www.youtube.com/watch?v=IOcWv_jL4Gw,트롯가왕,https://www.youtube.com/watch?v=XUkz3Mg-Bvg,MBN Music,0,2025-11-23 14:26:47.354301+00
1854a07a-032f-4dbf-bfea-5f7f3cf58ecc,박서진,パクソジン,조사하면 다 나온다,調べたら全部明かされる,https://www.youtube.com/watch?v=G-2B49JaiLA,트롯가왕,https://www.youtube.com/watch?v=99dU0j3X5FE,MBN Music,50000,2025-11-23 14:26:47.354301+00
18e927c3-6dfc-4c60-894d-cb0d0813b740,"쥬니 ,김다현","ジュニ ,キムダヒョン",이제는,今は,https://www.youtube.com/watch?v=oqpNeOvlcZg,트롯가왕,https://www.youtube.com/watch?v=vj_HfdzBRIg,MBN Music,50000,2025-11-23 14:26:47.354301+00
1f889964-3a52-4be8-92fa-6d43be2da42b,슈,シュウ,눈물의 바다에 안기고 싶어,涙の海で抱かれたい～SEA OF LOVE,https://www.youtube.com/watch?v=QPfrtgzVFmY,트롯가왕,https://www.youtube.com/watch?v=TejZnV0mjss,MBN Music,0,2025-11-23 14:26:47.354301+00
1fc19555-e2bf-47d9-a06c-e296b6c2a670,박서진,パクソジン,비와 당신,雨とあなた,https://www.youtube.com/watch?v=bXyaW5KpWh0,트롯가왕,https://www.youtube.com/watch?v=d4pWjMsd0go,MBN Music,0,2025-11-23 14:26:47.354301+00
21307f2d-23b0-47b3-ae81-a9a96aacf01a,"슈, 신","シュウ, シン",그대에게,あなたに,https://www.youtube.com/watch?v=QfRY87K7Fw0,트롯가왕,https://www.youtube.com/watch?v=xAoCPfAwhhE,MBN Music,0,2025-11-23 14:26:47.354301+00
23da6121-f16d-4340-bee4-fc95791d884b,에녹,エノク,떠날 수 없는 당신,離れられないあなた,https://www.youtube.com/watch?v=wWy8D6ny8jA,트롯가왕,https://www.youtube.com/watch?v=BG7JfuddbII,MBN Music,0,2025-11-23 14:26:47.354301+00
2641cc47-3720-4371-ab52-7195d81d28e2,김준수,キムジュンス,담배가게 아가씨,タバコ屋のお嬢さん,https://www.youtube.com/watch?v=SFiJDZg0g50,트롯가왕,https://www.youtube.com/watch?v=rIP0mKHa2u4,MBN Music,50000,2025-11-23 14:26:47.354301+00
2a237505-5695-42c5-b869-a551097c524b,최수호,チェスホ,천년학,千年鶴,https://www.youtube.com/watch?v=Vb-bsEgFP9Q,트롯가왕,https://www.youtube.com/watch?v=h3uB36pHEKI,MBN Music,0,2025-11-23 14:26:47.354301+00
